make,wheel_base,length,width,height,curb_weight,engine_size,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
toyota,98.4,176.2,65.6,52,2540,146,9.3,116,4800,24,30,8449
toyota,98.4,176.2,65.6,52,2536,146,9.3,116,4800,24,30,9639
toyota,98.4,176.2,65.6,52,2551,146,9.3,116,4800,24,30,9989
toyota,98.4,176.2,65.6,52,2679,146,9.3,116,4800,24,30,11199
toyota,98.4,176.2,65.6,52,2714,146,9.3,116,4800,24,30,11549
toyota,98.4,176.2,65.6,53,2975,146,9.3,116,4800,24,30,17669
toyota,102.4,175.6,66.5,54.9,2326,122,8.7,92,4200,29,34,8948
toyota,102.4,175.6,66.5,54.9,2480,110,22.5,73,4500,30,33,10698
toyota,102.4,175.6,66.5,53.9,2414,122,8.7,92,4200,27,32,9988
toyota,102.4,175.6,66.5,54.9,2414,122,8.7,92,4200,27,32,10898
toyota,102.4,175.6,66.5,53.9,2458,122,8.7,92,4200,27,32,11248
toyota,102.9,183.5,67.7,52,2976,171,9.3,161,5200,20,24,16558
toyota,102.9,183.5,67.7,52,3016,171,9.3,161,5200,19,24,15998
toyota,104.5,187.8,66.5,54.1,3131,171,9.2,156,5200,20,24,15690
toyota,104.5,187.8,66.5,54.1,3151,161,9.2,156,5200,19,24,15750
volvo,97.3,171.7,65.5,55.7,2261,97,23,52,4800,37,46,7775
volvo,97.3,171.7,65.5,55.7,2209,109,9,85,5250,27,34,7975
volvo,97.3,171.7,65.5,55.7,2264,97,23,52,4800,37,46,7995
volvo,97.3,171.7,65.5,55.7,2212,109,9,85,5250,27,34,8195
volvo,97.3,171.7,65.5,55.7,2275,109,9,85,5250,27,34,8495
volvo,97.3,171.7,65.5,55.7,2319,97,23,68,4500,37,42,9495
volvo,97.3,171.7,65.5,55.7,2300,109,10,100,5500,26,32,9995
volvo,94.5,159.3,64.2,55.6,2254,109,8.5,90,5500,24,29,11595
volvo,94.5,165.7,64,51.4,2221,109,8.5,90,5500,24,29,9980
volvo,100.4,180.2,66.9,55.1,2661,136,8.5,110,5500,19,24,13295
volvo,100.4,180.2,66.9,55.1,2579,97,23,68,4500,33,38,13845
volvo,100.4,183.1,66.9,55.1,2563,109,9,88,5500,25,31,12290
volvo,104.3,188.8,67.2,56.2,2912,141,9.5,114,5400,23,28,12940
volvo,104.3,188.8,67.2,57.5,3034,141,9.5,114,5400,23,28,13415
volvo,104.3,188.8,67.2,56.2,2935,141,9.5,114,5400,24,28,15985
volvo,104.3,188.8,67.2,57.5,3042,141,9.5,114,5400,24,28,16515
volvo,104.3,188.8,67.2,56.2,3045,130,7.5,162,5100,17,22,18420
volvo,104.3,188.8,67.2,57.5,3157,130,7.5,162,5100,17,22,18950
volvo,109.1,188.8,68.9,55.5,2952,141,9.5,114,5400,23,28,16845
volvo,109.1,188.8,68.8,55.5,3049,141,8.7,160,5300,19,25,19045
volvo,109.1,188.8,68.9,55.5,3012,173,8.8,134,5500,18,23,21485
volvo,109.1,188.8,68.9,55.5,3217,145,23,106,4800,26,27,22470
volvo,109.1,188.8,68.9,55.5,3062,141,9.5,114,5400,19,25,22625
